regime_id,segment_id,frequency,regime,start_date,end_date,start_year_month,end_year_month,start_close,end_close,min_close,max_close,min_drawdown_pct,max_drawdown_pct,observation_count,duration_days,duration_years,segment_return_pct
daily_16,16,daily,bear,2016-01-31,2016-01-31,2016-01,2016-01,368.7669982910156,368.7669982910156,368.7669982910156,368.7669982910156,-20.749979718171453,-20.749979718171453,1,1,0.0027378507871321013,0.0
daily_17,17,daily,bull,2016-02-01,2016-02-02,2016-02,2016-02,373.0559997558594,374.447998046875,373.0559997558594,374.447998046875,-19.82825013105307,-19.52910217772076,2,2,0.0054757015742642025,0.37313387049842106
daily_18,18,daily,bear,2016-02-03,2016-02-03,2016-02,2016-02,369.9490051269531,369.9490051269531,369.9490051269531,369.9490051269531,-20.495960063062878,-20.495960063062878,1,1,0.0027378507871321013,0.0
daily_19,19,daily,bull,2016-02-04,2016-06-21,2016-02,2016-06,389.593994140625,666.6519775390625,373.4469909667969,766.3079833984375,-19.744224007402067,0.0,139,139,0.3805612594113621,71.11454169348224
daily_20,20,daily,bear,2016-06-22,2016-06-22,2016-06,2016-06,596.1160278320312,596.1160278320312,596.1160278320312,596.1160278320312,-22.20934131622062,-22.20934131622062,1,1,0.0027378507871321013,0.0
daily_21,21,daily,bull,2016-06-23,2016-07-31,2016-06,2016-07,623.9769897460938,624.6810302734375,623.9769897460938,703.7020263671875,-18.573601833186114,-8.169816625634496,39,39,0.10677618069815195,0.11283116828237905
daily_22,22,daily,bear,2016-08-01,2016-09-06,2016-08,2016-09,606.27197265625,610.4359741210938,547.4650268554688,610.4359741210938,-28.558094302037638,-20.340647971078095,37,37,0.10130047912388775,0.6868207096231149
daily_23,23,daily,bull,2016-09-07,2016-09-10,2016-09,2016-09,614.5440063476562,623.5089721679688,614.5440063476562,626.3159790039062,-19.804566876327634,-18.268373477422482,4,4,0.010951403148528405,1.4587996510767143
daily_24,24,daily,bear,2016-09-11,2016-09-30,2016-09,2016-09,606.718994140625,609.7349853515625,596.2979736328125,610.6840209960938,-22.185598147061093,-20.308278887057863,20,20,0.05475701574264202,0.49709853162078765
daily_25,25,daily,bull,2016-10-01,2016-10-01,2016-10,2016-10,613.9829711914062,613.9829711914062,613.9829711914062,613.9829711914062,-19.877779627389145,-19.877779627389145,1,1,0.0027378507871321013,0.0
daily_26,26,daily,bear,2016-10-02,2016-10-06,2016-10,2016-10,610.8920288085938,613.02099609375,610.2039794921875,613.02099609375,-20.370922303844065,-20.00331337080522,5,5,0.013689253935660506,0.3485014020085275
daily_27,27,daily,bull,2016-10-07,2017-01-05,2016-10,2017-01,617.1209716796875,1013.3800048828124,616.7520141601562,1154.72998046875,-19.516431053612095,0.0,91,91,0.24914442162902123,64.2109167226293
daily_28,28,daily,bear,2017-01-06,2017-01-21,2017-01,2017-01,902.2009887695312,921.7890014648438,777.7570190429688,921.7890014648438,-32.64598371930667,-20.172766182908532,16,16,0.04380561259411362,2.1711362478141094
daily_29,29,daily,bull,2017-01-22,2017-01-22,2017-01,2017-01,924.6729736328124,924.6729736328124,924.6729736328124,924.6729736328124,-19.923013234881847,-19.923013234881847,1,1,0.0027378507871321013,0.0
daily_30,30,daily,bear,2017-01-23,2017-01-30,2017-01,2017-01,921.0120239257812,920.3820190429688,892.68701171875,921.5900268554688,-22.693008164872154,-20.189997450195296,8,8,0.02190280629705681,-0.06840354593060649
daily_31,31,daily,bull,2017-01-31,2017-03-17,2017-01,2017-03,970.4030151367188,1100.22998046875,970.4030151367188,1274.989990234375,-15.962776445555328,0.0,46,46,0.12594113620807665,13.378664668899454
daily_32,32,daily,bear,2017-03-18,2017-03-18,2017-03,2017-03,973.8179931640624,973.8179931640624,973.8179931640624,973.8179931640624,-23.62151855129072,-23.62151855129072,1,1,0.0027378507871321013,0.0
daily_33,33,daily,bull,2017-03-19,2017-03-23,2017-03,2017-03,1036.739990234375,1038.5899658203125,1036.739990234375,1120.5400390625,-18.68642121309546,-12.113816763650298,5,5,0.013689253935660506,0.17844161538702608
daily_34,34,daily,bear,2017-03-24,2017-03-26,2017-03,2017-03,937.52001953125,966.7249755859376,937.52001953125,972.7789916992188,-26.468440794667703,-23.703009502027726,3,3,0.008213552361396304,3.115128791520605
daily_35,35,daily,bull,2017-03-27,2017-07-10,2017-03,2017-07,1045.77001953125,2372.56005859375,1026.4300537109375,2958.110107421875,-19.794734731441686,0.0,106,106,0.29021218343600275,126.87206692511732
daily_36,36,daily,bear,2017-07-11,2017-07-11,2017-07,2017-07,2337.7900390625,2337.7900390625,2337.7900390625,2337.7900390625,-20.97014802806011,-20.97014802806011,1,1,0.0027378507871321013,0.0
daily_37,37,daily,bull,2017-07-12,2017-07-12,2017-07,2017-07,2398.840087890625,2398.840087890625,2398.840087890625,2398.840087890625,-18.9063286768145,-18.9063286768145,1,1,0.0027378507871321013,0.0
daily_38,38,daily,bear,2017-07-13,2017-07-19,2017-07,2017-07,2357.89990234375,2273.429931640625,1929.8199462890625,2357.89990234375,-34.76172704162839,-20.290326704614625,7,7,0.019164955509924708,-3.582423945103097
daily_39,39,daily,bull,2017-07-20,2017-09-12,2017-07,2017-09,2817.60009765625,4130.81005859375,2529.449951171875,4892.009765625,-15.72093804110577,0.0,55,55,0.15058179329226556,46.60739336394333
daily_40,40,daily,bear,2017-09-13,2017-09-17,2017-09,2017-09,3882.590087890625,3582.8798828125,3154.949951171875,3882.590087890625,-35.50810193918734,-20.634048705857644,5,5,0.013689253935660506,-7.719336790481401
daily_41,41,daily,bull,2017-09-18,2017-09-19,2017-09,2017-09,4065.199951171875,3924.969970703125,3924.969970703125,4065.199951171875,-19.767740484024287,-16.901229843466847,2,2,0.0054757015742642025,-3.4495223396902253
daily_42,42,daily,bear,2017-09-20,2017-09-24,2017-09,2017-09,3905.949951171875,3682.840087890625,3630.699951171875,3905.949951171875,-25.78306002813101,-20.156538144750545,5,5,0.013689253935660506,-5.712051256937178
daily_43,43,daily,bull,2017-09-25,2017-09-25,2017-09,2017-09,3926.070068359375,3926.070068359375,3926.070068359375,3926.070068359375,-19.745252841747284,-19.745252841747284,1,1,0.0027378507871321013,0.0
daily_44,44,daily,bear,2017-09-26,2017-09-26,2017-09,2017-09,3892.35009765625,3892.35009765625,3892.35009765625,3892.35009765625,-20.43453950139518,-20.43453950139518,1,1,0.0027378507871321013,0.0
daily_45,45,daily,bull,2017-09-27,2017-11-11,2017-09,2017-11,4200.669921875,6357.60009765625,4163.06982421875,7459.68994140625,-14.90062318616654,0.0,46,46,0.12594113620807665,51.34729021552087
daily_46,46,daily,bear,2017-11-12,2017-11-12,2017-11,2017-11,5950.06982421875,5950.06982421875,5950.06982421875,5950.06982421875,-20.237035708523255,-20.237035708523255,1,1,0.0027378507871321013,0.0
daily_47,47,daily,bull,2017-11-13,2017-12-21,2017-11,2017-12,6559.490234375,15802.900390625,6559.490234375,19497.400390625,-18.94867995723388,0.0,39,39,0.10677618069815195,140.91659299696678
daily_48,48,daily,bear,2017-12-22,2017-12-25,2017-12,2017-12,13831.7998046875,14026.599609375,13831.7998046875,14699.2001953125,-29.058235828514402,-24.609435612860654,4,4,0.010951403148528405,1.4083474850574706
daily_49,49,daily,bull,2017-12-26,2017-12-27,2017-12,2017-12,16099.7998046875,15838.5,15838.5,16099.7998046875,-18.76609351667374,-17.425915854767894,2,2,0.0054757015742642025,-1.6230003345223065
daily_50,50,daily,bear,2017-12-28,2018-01-03,2017-12,2018-01,14606.5,15201.0,12952.2001953125,15201.0,-33.56960448152694,-22.03576017596096,7,7,0.019164955509924708,4.0701057748262714
daily_51,51,daily,bull,2018-01-04,2018-01-07,2018-01,2018-01,15599.2001953125,16477.599609375,15599.2001953125,17527.0,-19.9934356232787,-10.105964647330289,4,4,0.010951403148528405,5.63105417626768
daily_52,52,daily,bear,2018-01-08,2020-11-10,2018-01,2020-11,15170.099609375,15290.90234375,3236.76171875,15579.8486328125,-83.39900882218973,-20.092687636943584,1038,1038,2.841889117043121,0.7963212996989544
daily_53,53,daily,bull,2020-11-11,2021-01-20,2020-11,2021-01,15701.33984375,35547.75,15701.33984375,40797.609375,-19.469572716474925,0.0,71,71,0.1943874058863792,126.39946879533319
daily_54,54,daily,bear,2021-01-21,2021-01-21,2021-01,2021-01,30825.69921875,30825.69921875,30825.69921875,30825.69921875,-24.442388436516083,-24.442388436516083,1,1,0.0027378507871321013,0.0
daily_55,55,daily,bull,2021-01-22,2021-01-22,2021-01,2021-01,33005.76171875,33005.76171875,33005.76171875,33005.76171875,-19.09878489356951,-19.09878489356951,1,1,0.0027378507871321013,0.0
daily_56,56,daily,bear,2021-01-23,2021-01-27,2021-01,2021-01,32067.642578125,30432.546875,30432.546875,32569.849609375,-25.406053586932753,-20.16725953228724,5,5,0.013689253935660506,-5.098895870320019
daily_57,57,daily,bull,2021-01-28,2021-02-27,2021-01,2021-02,33466.09765625,46188.453125,33114.359375,57539.9453125,-19.72802046621688,0.0,31,31,0.08487337440109514,38.01565273438452
daily_58,58,daily,bear,2021-02-28,2021-02-28,2021-02,2021-02,45137.76953125,45137.76953125,45137.76953125,45137.76953125,-21.55402775218792,-21.55402775218792,1,1,0.0027378507871321013,0.0
daily_59,59,daily,bull,2021-03-01,2021-04-23,2021-03,2021-04,49631.2421875,51093.65234375,48378.98828125,63503.45703125,-19.54193561681712,0.0,54,54,0.14784394250513347,2.946551590881441
daily_60,60,daily,bear,2021-04-24,2021-04-25,2021-04,2021-04,50050.8671875,49004.25390625,49004.25390625,50050.8671875,-22.832147733098928,-21.184027567396825,2,2,0.0054757015742642025,-2.091099195802515
daily_61,61,daily,bull,2021-04-26,2021-05-11,2021-04,2021-05,54021.75390625,56704.57421875,53333.5390625,58803.77734375,-16.014746982586146,-7.400667471043809,16,16,0.04380561259411362,4.966185135632206
daily_62,62,daily,bear,2021-05-12,2021-09-04,2021-05,2021-09,49150.53515625,49944.625,29807.34765625,50025.375,-53.06185040984174,-21.224170559120026,116,116,0.31759069130732376,1.6156280724626493
daily_63,63,daily,bull,2021-09-05,2021-09-06,2021-09,2021-09,51753.41015625,52633.53515625,51753.41015625,52633.53515625,-18.50300349667233,-17.117055327635033,2,2,0.0054757015742642025,1.7006125728580734
daily_64,64,daily,bear,2021-09-07,2021-10-04,2021-09,2021-10,46811.12890625,49112.90234375,40693.67578125,49112.90234375,-35.91895987453931,-22.661057145941555,28,28,0.07665982203969883,4.9171500266738555
