month_end,month_end_close,ath_close,drawdown_pct,monthly_return_pct,regime,year,month,year_month
2016-04-30,448.3179931640625,448.3179931640625,0.0,7.580223349397341,bull,2016,4,2016-04
2016-05-31,531.385986328125,531.385986328125,0.0,18.52881089554299,bull,2016,5,2016-05
2016-06-30,673.3369750976562,673.3369750976562,0.0,26.713348191662334,bull,2016,6,2016-06
2016-07-31,624.6810302734375,673.3369750976562,-7.226091336683538,-7.226091336683538,bull,2016,7,2016-07
2016-08-31,575.4719848632812,673.3369750976562,-14.534325880467403,-7.877467543494365,bull,2016,8,2016-08
2016-09-30,609.7349853515625,673.3369750976562,-9.445788973176372,5.953895478755822,bull,2016,9,2016-09
2016-10-31,700.9719848632812,700.9719848632812,0.0,14.963386012549872,bull,2016,10,2016-10
2016-11-30,745.6909790039062,745.6909790039062,0.0,6.379569384552086,bull,2016,11,2016-11
2016-12-31,963.7429809570312,963.7429809570312,0.0,29.24160384029304,bull,2016,12,2016-12
2017-01-31,970.4030151367188,970.4030151367188,0.0,0.6910591632090402,bull,2017,1,2017-01
2017-02-28,1179.969970703125,1179.969970703125,0.0,21.595868139061846,bull,2017,2,2017-02
2017-03-31,1071.7900390625,1179.969970703125,-9.168024129983776,-9.168024129983776,bull,2017,3,2017-03
2017-04-30,1347.8900146484375,1347.8900146484375,0.0,25.76064019287243,bull,2017,4,2017-04
2017-05-31,2286.409912109375,2286.409912109375,0.0,69.62881891411045,bull,2017,5,2017-05
2017-06-30,2480.840087890625,2480.840087890625,0.0,8.503732193929924,bull,2017,6,2017-06
2017-07-31,2875.340087890625,2875.340087890625,0.0,15.901871383230915,bull,2017,7,2017-07
2017-08-31,4703.39013671875,4703.39013671875,0.0,63.57682892979797,bull,2017,8,2017-08
2017-09-30,4338.7099609375,4703.39013671875,-7.753559989298775,-7.753559989298775,bull,2017,9,2017-09
2017-10-31,6468.39990234375,6468.39990234375,0.0,49.08578726350426,bull,2017,10,2017-10
2017-11-30,10233.599609375,10233.599609375,0.0,58.20913616777115,bull,2017,11,2017-11
2017-12-31,14156.400390625,14156.400390625,0.0,38.33256069209823,bull,2017,12,2017-12
2018-01-31,10221.099609375,14156.400390625,-27.79873889308847,-27.79873889308847,bear,2018,1,2018-01
2018-02-28,10397.900390625,14156.400390625,-26.549828319980595,1.7297628240295682,bear,2018,2,2018-02
2018-03-31,6973.52978515625,14156.400390625,-50.73938577087412,-32.93328919130871,bear,2018,3,2018-03
2018-04-30,9240.5498046875,14156.400390625,-34.72528644494257,32.50893147910252,bear,2018,4,2018-04
2018-05-31,7494.169921875,14156.400390625,-47.06161372181891,-18.89909063556592,bear,2018,5,2018-05
2018-06-30,6404.0,14156.400390625,-54.762511490978916,-14.546906905498158,bear,2018,6,2018-06
2018-07-31,7780.43994140625,14156.400390625,-45.03941873134074,21.49344068404513,bear,2018,7,2018-07
2018-08-31,7037.580078125,14156.400390625,-50.28693817684332,-9.547787385747553,bear,2018,8,2018-08
2018-09-30,6625.56005859375,14156.400390625,-53.19742395120802,-5.8545695389234265,bear,2018,9,2018-09
2018-10-31,6317.60986328125,14156.400390625,-55.37276645929672,-4.647911913696568,bear,2018,10,2018-10
2018-11-30,4017.2685546875,14156.400390625,-71.62224545903693,-36.41157587086258,bear,2018,11,2018-11
2018-12-31,3742.700439453125,14156.400390625,-73.56177886907108,-6.834696548081121,bear,2018,12,2018-12
2019-01-31,3457.792724609375,14156.400390625,-75.57435061741205,-7.612356891843053,bear,2019,1,2019-01
2019-02-28,3854.785400390625,14156.400390625,-72.77001713695923,11.481101020191954,bear,2019,2,2019-02
2019-03-31,4105.404296875,14156.400390625,-70.99965963385874,6.501500614248945,bear,2019,3,2019-03
2019-04-30,5350.7265625,14156.400390625,-62.202774611803925,30.33373026312973,bear,2019,4,2019-04
2019-05-31,8574.501953125,14156.400390625,-39.43021024749047,60.249301715742455,bear,2019,5,2019-05
2019-06-30,10817.1552734375,14156.400390625,-23.588235886566878,26.154910600902713,bear,2019,6,2019-06
2019-07-31,10085.6279296875,14156.400390625,-28.755703064412806,-6.7626591766352,bear,2019,7,2019-07
2019-08-31,9630.6640625,14156.400390625,-31.969541714305738,-4.511011811652232,bear,2019,8,2019-08
2019-09-30,8293.8681640625,14156.400390625,-41.41259122937022,-13.880620170759904,bear,2019,9,2019-09
2019-10-31,9199.5849609375,14156.400390625,-35.01465975044139,10.9203182273802,bear,2019,10,2019-10
2019-11-30,7569.6298828125,14156.400390625,-46.52856888799608,-17.71770232076748,bear,2019,11,2019-11
2019-12-31,7193.59912109375,14156.400390625,-49.184828610402455,-4.96762414464359,bear,2019,12,2019-12
2020-01-31,9350.529296875,14156.400390625,-33.94839762325924,29.984019674608998,bear,2020,1,2020-01
2020-02-29,8599.5087890625,14156.400390625,-39.25356339343525,-8.031850219040493,bear,2020,2,2020-02
2020-03-31,6438.64453125,14156.400390625,-54.51778451029149,-25.127763815543148,bear,2020,3,2020-03
2020-04-30,8658.5537109375,14156.400390625,-38.83647345357948,34.477896223547646,bear,2020,4,2020-04
2020-05-31,9461.05859375,14156.400390625,-33.16762501281374,9.268347920493625,bear,2020,5,2020-05
2020-06-30,9137.9931640625,14156.400390625,-35.449740669145754,-3.4146858566219795,bear,2020,6,2020-06
2020-07-31,11323.466796875,14156.400390625,-20.01168033948867,23.916341296986676,bear,2020,7,2020-07
2020-08-31,11680.8203125,14156.400390625,-17.48735561170225,3.155866679660524,bull,2020,8,2020-08
2020-09-30,10784.4912109375,14156.400390625,-23.818972949652718,-7.673511599209437,bear,2020,9,2020-09
2020-10-31,13780.9951171875,14156.400390625,-2.6518413090810156,27.785306210931694,bull,2020,10,2020-10
2020-11-30,19625.8359375,19625.8359375,0.0,42.41232777902142,bull,2020,11,2020-11
2020-12-31,29001.720703125,29001.720703125,0.0,47.7731740726012,bull,2020,12,2020-12
2021-01-31,33114.359375,33114.359375,0.0,14.180671257315613,bull,2021,1,2021-01
2021-02-28,45137.76953125,45137.76953125,0.0,36.308750593940786,bull,2021,2,2021-02
2021-03-31,58918.83203125,58918.83203125,0.0,30.531110958991945,bull,2021,3,2021-03
2021-04-30,57750.17578125,58918.83203125,-1.9835020649767054,-1.9835020649767054,bull,2021,4,2021-04
2021-05-31,37332.85546875,58918.83203125,-36.636803239838486,-35.35455959448175,bear,2021,5,2021-05
2021-06-30,35040.8359375,58918.83203125,-40.52693386909865,-6.13941661432399,bear,2021,6,2021-06
2021-07-31,41626.1953125,58918.83203125,-29.349931291200992,18.79338548528313,bear,2021,7,2021-07
2021-08-31,47166.6875,58918.83203125,-19.94632976603605,13.31010952575873,bull,2021,8,2021-08
2021-09-30,43790.89453125,58918.83203125,-25.675895088986632,-7.157155076344934,bear,2021,9,2021-09
2021-10-31,61318.95703125,61318.95703125,0.0,40.02672858735883,bull,2021,10,2021-10
2021-11-30,57005.42578125,61318.95703125,-7.034580264960633,-7.034580264960633,bull,2021,11,2021-11
2021-12-31,46306.4453125,61318.95703125,-24.48265992374784,-18.768354629620298,bear,2021,12,2021-12
2022-01-31,38483.125,61318.95703125,-37.241063998548064,-16.894668246945244,bear,2022,1,2022-01
2022-02-28,43193.234375,61318.95703125,-29.559737369656467,12.239415003329391,bear,2022,2,2022-02
2022-03-31,45538.67578125,61318.95703125,-25.734751558083236,5.430112933630005,bear,2022,3,2022-03
2022-04-30,37714.875,61318.95703125,-38.49393918950814,-17.180562778839857,bear,2022,4,2022-04
2022-05-31,31792.310546875,61318.95703125,-48.15255822000907,-15.703524015723236,bear,2022,5,2022-05
2022-06-30,19784.7265625,61318.95703125,-67.73473079064749,-37.76883082049309,bear,2022,6,2022-06
2022-07-31,23336.896484375,61318.95703125,-61.9417915531704,17.954101668545608,bear,2022,7,2022-07
